cve,sourceidentifier,published,lastmodified,vulnstatus,description,cvssmetricv31_source,cvssmetricv31_type,cvssmetricv31_version,cvssmetricv31_vectorstring,cvssmetricv31_attackvector,cvssmetricv31_attackcomplexity,cvssmetricv31_privilegesrequired,cvssmetricv31_userinteraction,cvssmetricv31_scope,cvssmetricv31_confidentialityimpact,cvssmetricv31_integrityimpact,cvssmetricv31_availabilityimpact,cvssmetricv31_basescore,cvssmetricv31_baseseverity,cvssmetricv31_exploitabilityscore,cvssmetricv31_impactscore,cvssmetricv2_source,cvssmetricv2_type,cvssmetricv2_version,cvssmetricv2_vectorstring,cvssmetricv2_attackvector,cvssmetricv2_attackcomplexity,cvssmetricv2_privilegesrequired,cvssmetricv2_userinteraction,cvssmetricv2_scope,cvssmetricv2_confidentialityimpact,cvssmetricv2_integrityimpact,cvssmetricv2_availabilityimpact,cvssmetricv2_basescore,cvssmetricv2_baseseverity,cvssmetricv2_exploitabilityscore,cvssmetricv2_impactscore
CVE-2000-0754,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:48.437,Analyzed,Vulnerability in HP OpenView Network Node Manager (NMM) version 6.1 related to passwords.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:N/I:P/A:N,null,null,null,null,null,NONE,PARTIAL,NONE,2.1,LOW,3.9,2.9
CVE-2000-0755,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:48.577,Analyzed,Vulnerability in the newgrp command in HP-UX 11.00 allows local users to gain privileges.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,4.6,MEDIUM,3.9,6.4
CVE-2000-0756,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:48.717,Analyzed,"Microsoft Outlook 2000 does not properly process long or malformed fields in vCard (.vcf) files, which allows attackers to cause a denial of service.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,null,null,null,null,null,NONE,NONE,PARTIAL,5,MEDIUM,10,2.9
CVE-2000-0757,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:48.857,Analyzed,"The sysgen service in Aptis Totalbill does not perform authentication, which allows remote attackers to gain root privileges by connecting to the service and specifying the commands to be executed.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,10,HIGH,10,10
CVE-2000-0758,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:49.000,Analyzed,The web interface for Lyris List Manager 3 and 4 allows list subscribers to obtain administrative access by modifying the value of the list_admin hidden form field.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,4.6,MEDIUM,3.9,6.4
CVE-2000-0759,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:49.157,Analyzed,"Jakarta Tomcat 3.1 under Apache reveals physical path information when a remote attacker requests a URL that does not exist, which generates an error message that includes the physical path.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:N,null,null,null,null,null,PARTIAL,PARTIAL,NONE,6.4,MEDIUM,10,4.9
CVE-2000-0760,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:49.297,Analyzed,The Snoop servlet in Jakarta Tomcat 3.1 and 3.0 under Apache reveals sensitive system information when a remote attacker requests a nonexistent URL with a .snp extension.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:N,null,null,null,null,null,PARTIAL,PARTIAL,NONE,6.4,MEDIUM,10,4.9
CVE-2000-0761,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:49.437,Analyzed,OS2/Warp 4.5 FTP server allows remote attackers to cause a denial of service via a long username.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,null,null,null,null,null,NONE,NONE,PARTIAL,5,MEDIUM,10,2.9
CVE-2000-0762,cve@mitre.org,2000-10-20T04:00:00.000,2021-04-09T13:53:14.280,Modified,"The default installation of eTrust Access Control (formerly SeOS) uses a default encryption key, which allows remote attackers to spoof the eTrust administrator and gain privileges.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,10,HIGH,10,10
CVE-2000-0763,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:49.733,Analyzed,"xlockmore and xlockf do not properly cleanse user-injected format strings, which allows local users to gain root privileges via the -d option.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-2000-0764,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:17.450,Modified,Intel Express 500 series switches allow a remote attacker to cause a denial of service via a malformed IP packet.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,null,null,null,null,null,NONE,NONE,PARTIAL,5,MEDIUM,10,2.9
CVE-2000-0765,cve@mitre.org,2000-10-20T04:00:00.000,2018-10-12T21:29:45.407,Modified,"Buffer overflow in the HTML interpreter in Microsoft Office 2000 allows an attacker to execute arbitrary commands via a long embedded object tag, aka the ""Microsoft Office HTML Object Tag"" vulnerability.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:H/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,5.1,MEDIUM,4.9,6.4
CVE-2000-0766,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:17.530,Modified,Buffer overflow in vqSoft vqServer 1.4.49 allows remote attackers to cause a denial of service or possibly gain privileges via a long HTTP GET request.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0767,cve@mitre.org,2000-10-20T04:00:00.000,2021-07-23T12:18:31.047,Modified,"The ActiveX control for invoking a scriptlet in Internet Explorer 4.x and 5.x renders arbitrary file types instead of HTML, which allows an attacker to read arbitrary files, aka the ""Scriptlet Rendering"" vulnerability.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:H/Au:N/C:P/I:N/A:N,null,null,null,null,null,PARTIAL,NONE,NONE,2.6,LOW,4.9,2.9
CVE-2000-0768,cve@mitre.org,2000-10-20T04:00:00.000,2021-07-23T12:18:31.047,Modified,"A function in Internet Explorer 4.x and 5.x does not properly verify the domain of a frame within a browser window, which allows a remote attacker to read client files, aka a variant of the ""Frame Domain Verification"" vulnerability.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:H/Au:N/C:P/I:N/A:N,null,null,null,null,null,PARTIAL,NONE,NONE,2.6,LOW,4.9,2.9
CVE-2000-0769,cve@mitre.org,2000-10-20T04:00:00.000,2016-10-18T02:07:28.397,Modified,"O'Reilly WebSite Pro 2.3.7 installs the uploader.exe program with execute permissions for all users, which allows remote attackers to create and execute arbitrary files by directly calling uploader.exe.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0770,cve@mitre.org,2000-10-20T04:00:00.000,2018-10-30T16:25:10.357,Modified,"IIS 4.0 and 5.0 does not properly restrict access to certain types of files when their parent folders have less restrictive permissions, which could allow remote attackers to bypass access restrictions to some files, aka the ""File Permission Canonicalization"" vulnerability.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:N,null,null,null,null,null,PARTIAL,PARTIAL,NONE,6.4,MEDIUM,10,4.9
CVE-2000-0771,cve@mitre.org,2000-10-20T04:00:00.000,2018-10-12T21:29:46.217,Modified,"Microsoft Windows 2000 allows local users to cause a denial of service by corrupting the local security policy via malformed RPC traffic, aka the ""Local Security Policy Corruption"" vulnerability.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:N/I:N/A:P,null,null,null,null,null,NONE,NONE,PARTIAL,2.1,LOW,3.9,2.9
CVE-2000-0772,cve@mitre.org,2000-10-20T04:00:00.000,2017-12-19T02:29:11.267,Modified,"The installation of Tumbleweed Messaging Management System (MMS) 4.6 and earlier (formerly Worldtalk Worldsecure) creates a default account ""sa"" with no password.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0773,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:17.577,Modified,"Bajie HTTP web server 0.30a allows remote attackers to read arbitrary files via a URL that contains a ""...."", a variant of the dot dot directory traversal attack.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,null,null,null,null,null,PARTIAL,NONE,NONE,5,MEDIUM,10,2.9
CVE-2000-0774,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:51.373,Analyzed,"The sample Java servlet ""test"" in Bajie HTTP web server 0.30a reveals the real pathname of the web document root.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,null,null,null,null,null,PARTIAL,NONE,NONE,5,MEDIUM,10,2.9
CVE-2000-0775,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:51.513,Analyzed,"Buffer overflow in RobTex Viking server earlier than 1.06-370 allows remote attackers to cause a denial of service or execute arbitrary commands via a long HTTP GET request, or long Unless-Modified-Since, If-Range, or If-Modified-Since headers.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0776,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:17.623,Modified,Mediahouse Statistics Server 5.02x allows remote attackers to execute arbitrary commands via a long HTTP GET request.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0777,cve@mitre.org,2000-10-20T04:00:00.000,2018-10-12T21:29:46.407,Modified,"The password protection feature of Microsoft Money can store the password in plaintext, which allows attackers with physical access to the system to obtain the password, aka the ""Money Password"" vulnerability.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-2000-0778,cve@mitre.org,2000-10-20T04:00:00.000,2018-10-30T16:25:10.357,Modified,"IIS 5.0 allows remote attackers to obtain source code for .ASP files and other scripts via an HTTP GET request with a ""Translate: f"" header, aka the ""Specialized Header"" vulnerability.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,null,null,null,null,null,PARTIAL,NONE,NONE,5,MEDIUM,10,2.9
CVE-2000-0779,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-10T19:05:49.897,Analyzed,Checkpoint Firewall-1 with the RSH/REXEC setting enabled allows remote attackers to bypass access restrictions and connect to a RSH/REXEC client via malformed connection requests.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0780,cve@mitre.org,2000-10-20T04:00:00.000,2016-10-18T02:07:29.647,Modified,The web server in IPSWITCH IMail 6.04 and earlier allows remote attackers to read and delete arbitrary files via a .. (dot dot) attack.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:N,null,null,null,null,null,PARTIAL,PARTIAL,NONE,6.4,MEDIUM,10,4.9
CVE-2000-0781,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:17.717,Modified,"uagentsetup in ARCServeIT Client Agent 6.62 does not properly check for the existence or ownership of a temporary file which is moved to the agent.cfg configuration file, which allows local users to execute arbitrary commands by modifying the temporary file before it is moved.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-2000-0782,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:17.873,Modified,netauth.cgi program in Netwin Netauth 4.2e and earlier allows remote attackers to read arbitrary files via a .. (dot dot) attack.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,null,null,null,null,null,PARTIAL,NONE,NONE,5,MEDIUM,10,2.9
CVE-2000-0783,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:17.997,Modified,Watchguard Firebox II allows remote attackers to cause a denial of service by sending a malformed URL to the authentication service on port 4100.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,null,null,null,null,null,NONE,NONE,PARTIAL,5,MEDIUM,10,2.9
CVE-2000-0784,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:52.810,Analyzed,"sshd program in the Rapidstream 2.1 Beta VPN appliance has a hard-coded ""rsadmin"" account with a null password, which allows remote attackers to execute arbitrary commands via ssh.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,10,HIGH,10,10
CVE-2000-0785,cve@mitre.org,2000-10-20T04:00:00.000,2016-10-18T02:07:30.910,Modified,"WircSrv IRC Server 5.07s allows IRC operators to read arbitrary files via the importmotd command, which sets the Message of the Day (MOTD) to the specified file.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,null,null,null,null,null,PARTIAL,NONE,NONE,5,MEDIUM,10,2.9
CVE-2000-0786,cve@mitre.org,2000-10-20T04:00:00.000,2016-10-18T02:07:32.193,Modified,"GNU userv 1.0.0 and earlier does not properly perform file descriptor swapping, which can corrupt the USERV_GROUPS and USERV_GIDS environmental variables and allow local users to bypass some access restrictions.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,4.6,MEDIUM,3.9,6.4
CVE-2000-0787,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-10T19:05:50.977,Analyzed,IRC Xchat client versions 1.4.2 and earlier allows remote attackers to execute arbitrary commands by encoding shell metacharacters into a URL which XChat uses to launch a web browser.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0788,cve@mitre.org,2000-10-20T04:00:00.000,2018-10-12T21:29:47.060,Modified,"The Mail Merge tool in Microsoft Word does not prompt the user before executing Visual Basic (VBA) scripts in an Access database, which could allow an attacker to execute arbitrary commands.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,10,HIGH,10,10
CVE-2000-0789,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:53.560,Analyzed,"WinU 5.x and earlier uses weak encryption to store its configuration password, which allows local users to decrypt the password and gain privileges.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,4.6,MEDIUM,3.9,6.4
CVE-2000-0790,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:18.140,Modified,The web-based folder display capability in Microsoft Internet Explorer 5.5 on Windows 98 allows local users to insert Trojan horse programs by modifying the Folder.htt file and using the InvokeVerb method in the ShellDefView ActiveX control to specify a default execute option for the first file that is listed in the folder.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,4.6,MEDIUM,3.9,6.4
CVE-2000-0791,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:53.843,Analyzed,"Trustix installs the httpsd program for Apache-SSL with world-writeable permissions, which allows local users to replace it with a Trojan horse.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,4.6,MEDIUM,3.9,6.4
CVE-2000-0792,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:53.983,Analyzed,"Gnome Lokkit firewall package before 0.41 does not properly restrict access to some ports, even if a user does not make any services available.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0793,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:54.140,Analyzed,Norton AntiVirus 5.00.01C with the Novell Netware client does not properly restart the auto-protection service after the first user has logged off of the system.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,10,HIGH,10,10
CVE-2000-0794,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:54.280,Analyzed,Buffer overflow in IRIX libgl.so library allows local users to gain root privileges via a long HOME variable to programs such as (1) gmemusage and (2) gr_osview.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-2000-0795,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:54.420,Analyzed,Buffer overflow in lpstat in IRIX 6.2 and 6.3 allows local users to gain root privileges via a long -n option.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-2000-0796,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:18.187,Modified,Buffer overflow in dmplay in IRIX 6.2 and 6.3 allows local users to gain root privileges via a long command line option.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-2000-0797,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:18.233,Modified,Buffer overflow in gr_osview in IRIX 6.2 and 6.3 allows local users to gain privileges via a long -D option.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-2000-0798,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:54.857,Analyzed,"The truncate function in IRIX 6.x does not properly check for privileges when the file is in the xfs file system, which allows local users to delete the contents of arbitrary files.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,10,HIGH,10,10
CVE-2000-0799,cve@mitre.org,2000-10-20T04:00:00.000,2017-10-10T01:29:18.280,Modified,inpview in InPerson in SGI IRIX 5.3 through IRIX 6.5.10 allows local users to gain privileges via a symlink attack on the .ilmpAAA temporary file.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:H/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,3.7,LOW,1.9,6.4
CVE-2000-0800,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-10T19:05:52.103,Analyzed,String parsing error in rpc.kstatd in the linuxnfs or knfsd packages in SuSE and possibly other Linux systems allows remote attackers to gain root privileges.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,10,HIGH,10,10
CVE-2000-0801,cve@mitre.org,2000-10-20T04:00:00.000,2008-09-05T20:21:55.327,Analyzed,Buffer overflow in bdf program in HP-UX 11.00 may allow local users to gain root privileges via a long -t option.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-2000-0802,cve@mitre.org,2000-10-20T04:00:00.000,2016-10-18T02:07:33.630,Modified,"The BAIR program does not properly restrict access to the Internet Explorer Internet options menu, which allows local users to obtain access to the menu by modifying the registry key that starts BAIR.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:P/I:P/A:N,null,null,null,null,null,PARTIAL,PARTIAL,NONE,3.6,LOW,3.9,4.9
CVE-2000-1080,cve@mitre.org,2000-11-01T05:00:00.000,2017-10-10T01:29:28.937,Modified,Quake 1 (quake1) and ProQuake 1.01 and earlier allow remote attackers to cause a denial of service via a malformed (empty) UDP packet.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,null,null,null,null,null,NONE,NONE,PARTIAL,5,MEDIUM,10,2.9
CVE-2000-1219,cve@mitre.org,2000-11-01T05:00:00.000,2008-09-05T20:22:57.120,Analyzed,"The -ftrapv compiler option in gcc and g++ 3.3.3 and earlier does not handle all types of integer overflows, which may leave applications vulnerable to vulnerabilities related to overflows.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0804,cve@mitre.org,2000-11-14T05:00:00.000,2017-10-10T01:29:18.327,Modified,"Check Point VPN-1/FireWall-1 4.1 and earlier allows remote attackers to bypass the directionality check via fragmented TCP connection requests or reopening closed TCP connection requests, aka ""One-way Connection Enforcement Bypass.""",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0805,cve@mitre.org,2000-11-14T05:00:00.000,2017-10-10T01:29:18.420,Modified,"Check Point VPN-1/FireWall-1 4.1 and earlier improperly retransmits encapsulated FWS packets, even if they do not come from a valid FWZ client, aka ""Retransmission of Encapsulated Packets.""",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0806,cve@mitre.org,2000-11-14T05:00:00.000,2017-10-10T01:29:18.483,Modified,"The inter-module authentication mechanism (fwa1) in Check Point VPN-1/FireWall-1 4.1 and earlier may allow remote attackers to conduct a denial of service, aka ""Inter-module Communications Bypass.""",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,null,null,null,null,null,NONE,NONE,PARTIAL,5,MEDIUM,10,2.9
CVE-2000-0807,cve@mitre.org,2000-11-14T05:00:00.000,2017-10-10T01:29:18.623,Modified,"The OPSEC communications authentication mechanism (fwn1) in Check Point VPN-1/FireWall-1 4.1 and earlier allows remote attackers to spoof connections, aka the ""OPSEC Authentication Vulnerability.""",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-2000-0808,cve@mitre.org,2000-11-14T05:00:00.000,2017-10-10T01:29:18.747,Modified,"The seed generation mechanism in the inter-module S/Key authentication mechanism in Check Point VPN-1/FireWall-1 4.1 and earlier allows remote attackers to bypass authentication via a brute force attack, aka ""One-time (s/key) Password Authentication.""",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
